,열량Kcal,포화지방g,나트륨mg,탄수화물g,당g,카페인mg,단백질g
단팥 라떼,312,3,197,53,38,,11
아이스 솔티드 크림 카라멜 라떼,402,4,310,35,31,45,6
솔티드 크림 카라멜 라떼,382,8,302,34,31,45,10
콜드브루 칩 IB,464,9,367,73,63,141,9
단팥 크림 라떼,462,5,141,45,35,0,9
에스프레소  단팥 크림 라떼,431,4,130,45,35,45,9
블랙다이몬 바닐라 빈 카푸치노,130,2,98,19,16,143,6
스파클링 퍼플 상그리아,250,0,5,62,54,0,1
퍼플베리 요거트 아이스 블렌디드,290,2,98,60,53,0,2
블랙다이몬 카페수아,321,5,171,49,45,281,11
블랙다이몬 카페라떼,129,5,130,11,9,281,7
블랙다이몬 아메리카노,9,0,30,2,0,281,1
바닐라 빈 오트 블랙다이몬,202,1,121,34,20,281,2
바닐라 빈 크림 블랙다이몬,341,5,128,30,25,281,7
바닐라빈 크림 콜드브루,249,12,49,23,18,105,4
스파클링 광양 황매실 매화 티,157,0,0,39,38,29,1
바닐라빈 오트 블랙 다이몬,199,1,91,33,20,274,1
더블샷 샤케라토 라떼,178,2,48,32,32,198,3
더블샷 샤케라토,77,0,0,18,18,198,0
25g WPC 프로틴 에스프레소 바닐라 아이스 블렌디드,405,8,357,66,61,224,31
25g WPC 프로틴 에스프레소 모카 아이스 블렌디드,390,7,405,68,58,232,30
25g 프로틴 망고 바나나 아이스 블렌디드,344,0,74,87,65,0,21
25g 프로틴 핫 더블 초콜릿,326,6,319,46,43,15,35
25g WPC 프로틴 에스프레소 모카 라떼,311,5,344,47,42,200,33
25g WPC 프로틴 에스프레소 바닐라 라떼,318,6,320,46,43,198,34
에스프레소 달고나 크림라떼,631,29,369,59,59,99,7
에스프레소 달고나 크림IB,670,29,427,75,74,99,5
