단과대학,학과명,바로가기
글로벌융합대학,국어국문학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=21&menuId=984
글로벌융합대학,일어일문학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=25&menuId=985
글로벌융합대학,중어중문학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=26&menuId=986
글로벌융합대학,영어영문학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=27&menuId=987
글로벌융합대학,불어불문학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=28&menuId=988
글로벌융합대학,독어독문학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=29&menuId=989
글로벌융합대학,스페인어전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=30&menuId=990
글로벌융합대학,사학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=31&menuId=991
글로벌융합대학,철학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=32&menuId=992
글로벌융합대학,미술사학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=33&menuId=993
글로벌융합대학,문화인류학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=47&menuId=1005
글로벌융합대학,경영학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=22&menuId=995
글로벌융합대학,회계학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=37&menuId=999
글로벌융합대학,국제통상학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=41&menuId=1003
글로벌융합대학,법학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=34&menuId=996
글로벌융합대학,문헌정보학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=46&menuId=1004
글로벌융합대학,사회학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=38&menuId=1000
글로벌융합대학,심리학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=35&menuId=997
글로벌융합대학,아동가족학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=39&menuId=1001
글로벌융합대학,사회복지학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=36&menuId=998
글로벌융합대학,정치외교학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=40&menuId=1002
글로벌융합대학,의상디자인전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=64&menuId=1181
글로벌융합대학,유아교육과,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=48&menuId=1006
과학기술대학,디지털소프트웨어공학부,https://www.duksung.ac.kr/contents/contents.do?ciIdx=3552&menuId=4739
과학기술대학,컴퓨터공학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=55&menuId=1013
과학기술대학,IT미디어공학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=56&menuId=1014
과학기술대학,사이버보안전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=67&menuId=2428
과학기술대학,소프트웨어전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=66&menuId=2429
과학기술대학,바이오공학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=57&menuId=1015
과학기술대학,수학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=49&menuId=1008
과학기술대학,정보통계학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=53&menuId=1011
과학기술대학,화학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=50&menuId=1009
과학기술대학,식품영양학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=51&menuId=1198
과학기술대학,생활체육학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=52&menuId=1010
약학대학,약학과,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=58&menuId=1017
Art & Design 대학,동양화전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=59&menuId=1176
Art & Design 대학,서양화전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=60&menuId=1177
Art & Design 대학,실내디자인전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=61&menuId=1178
Art & Design 대학,시각디자인전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=62&menuId=1179
Art & Design 대학,텍스타일디자인전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=63&menuId=1180
미래인재대학,한국학전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=70&menuId=4848
미래인재대학,한국어교육전공,https://www.duksung.ac.kr/univ/majorInfo.do?miIdx=71&menuId=4868
